wavenumber,transmittance
2164.347856219, 0.976099953
2164.227326783, 0.977899967
2164.106797348, 0.975999991
2163.986267913, 0.98009983
2163.865900711, 0.978400126
2163.745371276, 0.977700043
2163.62484184, 0.985299949
2163.504312405, 0.985599835
2163.38378297, 0.978099891
2163.263253535, 0.969999827
2163.1427241, 0.975499832
2163.022194665, 0.981300072
2162.90166523, 0.98120011
2162.781135795, 0.980300102
2162.660606359, 0.979200171
2162.540076924, 0.970100137
2162.419547489, 0.968899895
2162.299018054, 0.966999919
2162.178488619, 0.964600132
2162.057764649, 0.975099983
2161.937235214, 0.976299877
2161.816705779, 0.978999899
2161.696176344, 0.981400034
2161.575646909, 0.984900101
2161.455117474, 0.978400126
2161.334588038, 0.971200068
2161.214058603, 0.968400085
2161.093529168, 0.972000113
2160.972999733, 0.979699982
2160.852470298, 0.973800128
2160.731940863, 0.969799902
2160.611411428, 0.962000072
2160.490881993, 0.965199904
2160.370347495, 0.972000113
2160.24981806, 0.950900099
2160.129288625, 0.80370016
2160.00875919, 0.679100015
2159.888229755, 0.788400038
2159.76770032, 0.91379988
2159.647170884, 0.953099962
2159.526641449, 0.972499924
2159.406112014, 0.977500119
2159.285582579, 0.974900059
2159.165053144, 0.975299908
2159.044523709, 0.979300133
2158.923994274, 0.977299846
2158.803627071, 0.982000155
2158.683097636, 0.986000032
2158.562568201, 0.979500057
2158.442038766, 0.966500108
2158.321509331, 0.966500108
2158.200979896, 0.971699879
2158.08045046, 0.973800128
2157.959921025, 0.971499955
2157.83939159, 0.972399962
2157.718862155, 0.974600173
2157.59833272, 0.976299877
2157.477803285, 0.978500088
2157.35727385, 0.976500149
2157.236744415, 0.982100117
2157.116214979, 0.982900162
2156.99549101, 0.94199999
2156.874961575, 0.845100143
2156.75443214, 0.843699977
2156.633902704, 0.928499882
2156.513373269, 0.959000164
2156.392843834, 0.964600132
2156.272314399, 0.964700094
2156.151784964, 0.964299897
2156.031255529, 0.962599845
2155.910726094, 0.968999857
2155.790196658, 0.973700166
2155.669667223, 0.974199976
2155.549137788, 0.972800159
2155.428608353, 0.97390009
2155.307884383, 0.977800005
2155.187354948, 0.974199976
2155.066825513, 0.981499996
2154.946296078, 0.984900101
2154.825766643, 0.987199925
2154.705237208, 0.979999868
2154.584707773, 0.974600173
2154.464178338, 0.975800066
2154.343648902, 0.981300072
2154.223119467, 0.984900101
2154.102590032, 0.974299938
2153.982060597, 0.970899834
2153.861531162, 0.975900029
2153.741001727, 0.983599897
2153.620634524, 0.975000021
2153.500105089, 0.970200099
2153.379575654, 0.967400115
2153.259046219, 0.97069991
2153.138516784, 0.979099861
2153.017987349, 0.978899936
2152.897457914, 0.975999991
2152.776928478, 0.967099881
2152.656399043, 0.966299836
2152.535869608, 0.96499998
2152.415340173, 0.970200099
2152.294810738, 0.973399931
2152.174281303, 0.97539987
2152.053751868, 0.97860005
2151.933222433, 0.98120011
2151.812877407, 0.976899998
2151.692347972, 0.973700166
2151.571818537, 0.977700043
2151.451289102, 0.969799902
2151.330759667, 0.963199966
2151.210230232, 0.965999949
2151.089700797, 0.928700154
2150.969171362, 0.744300033
2150.848641926, 0.651500026
2150.728112491, 0.798699965
2150.607583056, 0.912500024
2150.487053621, 0.943700042
2150.366329651, 0.962700155
2150.245800216, 0.978899936
2150.125270781, 0.986600153
2150.004741346, 0.983800169
2149.884211911, 0.981100148
2149.763682476, 0.975099983
2149.643153041, 0.966700032
2149.522623605, 0.965800025
2149.40209417, 0.97699996
2149.281564735, 0.980899875
2149.1610353, 0.977999929
2149.040505865, 0.975900029
2148.91997643, 0.979500057
2148.799446995, 0.981899844
2148.678912497, 0.97539987
2148.558383062, 0.971900151
2148.437853627, 0.978899936
2148.317324192, 0.979999868
2148.196794757, 0.98009983
2148.076265322, 0.982799852
2147.955735887, 0.978300164
2147.835206451, 0.895800084
2147.714677016, 0.799400048
2147.594147581, 0.859800145
2147.473618146, 0.947300071
2147.353088711, 0.968799933
2147.232559276, 0.972800159
2147.112108426, 0.96760004
2146.991578991, 0.970499985
2146.871049556, 0.969500016
2146.75052012, 0.971799841
2146.629990685, 0.967700002
2146.50946125, 0.966099911
2146.388931815, 0.97069991
2146.26840238, 0.975099983
2146.147872945, 0.974000052
2146.02734351, 0.977299846
2145.906814075, 0.984399942
